locationId,name,zone,type,latitude,longitude,sourceSlug
28,Department of Biochemistry,Academic District,Academic,5.6547,-0.1894,biochem-dept
29,School of Nursing and Midwifery,Academic District,Academic,5.6538,-0.1902,nursing-and-midwifery
30,French Department,Academic District,Academic,5.6509,-0.1887,french-dept
31,"Institute of Statistical, Social and Economic Research(ISSER)",Academic District,Academic,5.6545,-0.1844,isser
32,Department Of Animal Science,Academic District,Academic,5.6499,-0.1832,animal-science-dept
33,Department of Agriculture Economics and Agribusiness,Academic District,Academic,5.6497,-0.1834,agriecons-agricbusiness
34,Faculty of Agriculture,Academic District,Academic,5.6502,-0.1838,agric-faculty
35,Biotechnology Laboratory,Academic District,Academic,5.6488,-0.1837,biotech-lab
36,CEGENSA - College,Academic District,Academic,5.6491,-0.1837,CEGENSA
37,Department Of Crop Science,Academic District,Academic,5.6501,-0.1848,crop-science
38,Department of Music,Academic District,Academic,5.6492,-0.1808,music-dept
39,RS/GIS Lab - Research institute,Academic District,Academic,5.6513,-0.1828,CERGIS
40,Department Of Economics,Academic District,Academic,5.651,-0.1874,econs-dept
41,Research and Innovation Office Complex,Academic District,Academic,5.6537,-0.1928,research-office
42,Biomedical Engineering Department,Academic District,Academic,5.6556,-0.1831,biomed-dept
43,New N Block,Academic District,Academic,5.656,-0.1879,N-block
44,Centre for Climate Change and Sustainability Studies-C3SS,Academic District,Academic,5.6566,-0.1879,c3ss
45,GCB Lecture Building,Academic District,Academic,5.655,-0.1883,GCB-lecture-hall
46,Sociology Department,Academic District,Academic,5.6503,-0.1897,sociology-dept
47,School of Graduate studies,Academic District,Academic,5.6531,-0.1907,GRASAG
48,Department of Modern Languages,Academic District,Academic,5.6494,-0.1877,modern-langs
49,Department Of History,Academic District,Academic,5.6501,-0.1894,history-dept
50,Merian Institute for Advanced Studies in Africa (MIASA) - Research institute,Academic District,Academic,5.6479,-0.1912,MIASA
51,Maison Française Legon - Educational institution,Academic District,Academic,5.6493,-0.1877,maison-francaise
52,Department of Soil Science,Academic District,Academic,5.6503,-0.1848,soil-science
53,Department Of Family And Consumer Science,Academic District,Academic,5.6503,-0.1841,fam-and-consumer
54,UG Creche and Kindergarten School,Academic District,Academic,5.6497,-0.1839,UG-creche-kg
55,Mfodwo Complex/ N Block - Training center,Academic District,Academic,5.6546,-0.187,mfodwo
56,School of Social Sciences,Academic District,Academic,5.6551,-0.1873,socioso
57,CSPS - Centre for Social Policy Studies,Academic District,Academic,5.6549,-0.1876,CSPS
58,Department for the Study of Religions - Research Institute,Academic District,Academic,5.6509,-0.1883,religions
59,Department Of Philosophy and Classics - Research Institute,Academic District,Academic,5.6509,-0.1881,philosophy-&-classics
60,Economic Policy Management Programme Office - Research Institute,Academic District,Academic,5.6512,-0.188,economic-policy
61,School of Public Health,Academic District,Academic,5.6366,-0.1827,public-health
62,Department of Mathematics,Academic District,Academic,5.6538,-0.1841,maths-dept
63,Department of Statistics,Academic District,Academic,5.6538,-0.1838,stats-dept
64,West African Genetic Medicine Centre - WAGMC,Academic District,Academic,5.6348,-0.1847,WAGMC
65,School of Engineering Sciences,Academic District,Academic,5.6553,-0.183,engineering
66,School of Performing Arts,Academic District,Academic,5.6501,-0.1819,performing-arts
67,Legon Hall,Residential Area,Hostel,5.6502,-0.1884,legon-hall
68,Commonwealth Hall,Residential Area,Hostel,5.6506,-0.1925,commonwealth-hall
69,Volta Hall,Residential Area,Hostel,5.6518,-0.1898,volta-hall
70,Akuafo Hall,Residential Area,Hostel,5.6503,-0.1857,akuafo-hall
71,Akuafo Hall Annex,Residential Area,Hostel,5.6476,-0.1856,akuafo-hall-annex
72,Mensah Sarbah Hall,Residential Area,Hostel,5.6462,-0.1871,mensah-sarbah-hall
73,Vikings Hostel,Residential Area,Hostel,5.6442,-0.1856,vikings-hostel
74,Legon Hall Annex,Residential Area,Hostel,5.6474,-0.1881,legon-hall-annex
75,Mensah Sarbah Annex,Residential Area,Hostel,5.6454,-0.1854,mensah-sarbah-annex
76,Valco Trust Hostel,Residential Area,Hostel,5.6443,-0.1869,valco-trust-hostel
77,Old Pentagon Blocks,Residential Area,Hostel,5.6567,-0.1814,old-pentagon-blocks
78,Pent Hostel Block A,Residential Area,Hostel,5.6572,-0.182,pent-hostel-block-a
79,Pent Hostel Block B,Residential Area,Hostel,5.6585,-0.1819,pent-hostel-block-b
80,Pent Hostel Block C,Residential Area,Hostel,5.6584,-0.1813,pent-hostel-block-c
81,Evandy Hostel,Residential Area,Hostel,5.6629,-0.1817,evandy-hostel
82,Bani Hostel,Residential Area,Hostel,5.663,-0.1797,bani-hostel
83,TF Hostel,Residential Area,Hostel,5.6662,-0.1821,tf-hostel
84,Jubilee Hall,Residential Area,Hostel,5.6405,-0.186,jubilee-hall
85,International Student Hostel,Residential Area,Hostel,5.6399,-0.1852,ish-hostel
86,Dr. Hilla Limann Hall,Residential Area,Hostel,5.6373,-0.1848,limann-hall
87,Alexander Kwapong Hall,Residential Area,Hostel,5.637,-0.1855,kwapong-hall
88,Elizabeth Sey Hall,Residential Area,Hostel,5.6358,-0.1877,sey-hall
89,Jean Nelson Akah Hall,Residential Area,Hostel,5.6355,-0.1882,jean-nelson-hall
90,Central Cafeteria,Services & Facilities,Vendor,5.6468,-0.1868,cafeteria
91,Legon Hospital,Services & Facilities,Service,5.6511,-0.1779,hospital
92,Sports Complex,Services & Facilities,Facility,5.6393,-0.1811,UG-Stadium
93,University Banking Square,Services & Facilities,Service,5.6427,-0.1856,bank
94,ECOWAS Coastal & Marine Resources Management Centre,Services & Facilities,Service,5.6527,-0.1839,ecowas-coastal-marine
95,Ghana Korea Information Access Centre,Services & Facilities,Service,5.652,-0.1877,ghkorea-info
